,thres_ref,equal_threshold_00,equal_threshold_01,equal_threshold_02,equal_threshold_03,equal_threshold_04,equal_threshold_05,equal_threshold_06,equal_threshold_07,equal_threshold_08,equal_threshold_09,equal_threshold_10
Beijing,2,1,1,1,1,1,1,1,1,1,1,1
Tianjin,29,33,34,30,32,31,31,27,24,20,12,10
Shijiazhuang,33,28,28,28,28,26,22,21,18,12,13,13
Qinhuangdao,27,25,24,23,23,19,17,12,10,10,9,8
Baoding,36,29,29,29,29,28,27,28,29,28,23,19
Taiyuan,40,39,39,37,37,36,35,35,33,33,33,28
Hohhot,13,11,9,9,8,7,7,7,7,6,6,5
Shenyang,31,36,35,35,35,30,29,26,23,23,21,17
Dalian,9,7,6,6,5,5,5,6,5,5,4,4
Changchun,28,34,30,31,30,33,33,32,30,27,27,23
Harbin,18,26,27,25,20,21,21,20,22,22,17,14
Shanghai,32,27,26,26,24,23,23,23,21,17,15,15
Nanjing,34,32,31,34,31,32,32,30,31,32,30,25
Suzhou,25,35,33,32,34,35,34,33,32,30,29,21
Zhenjiang,35,38,38,38,38,38,38,37,37,37,34,34
Hangzhou,12,12,12,13,12,11,10,10,9,8,8,9
Ningbo,15,22,21,18,19,18,19,18,14,14,14,16
Wenzhou,17,16,14,16,17,17,14,13,13,11,11,11
Hefei,21,23,20,17,15,15,16,15,16,18,18,20
Fuzhou,4,2,4,4,4,4,4,3,4,4,5,6
Xiamen,3,4,3,2,2,3,3,4,3,3,3,3
Nanchang,19,19,18,21,18,22,24,25,27,24,25,26
Jinan,14,18,17,20,22,25,25,22,25,25,24,24
Qingdao,6,13,13,11,11,9,11,9,11,13,19,22
Zhengzhou,22,17,19,19,21,20,20,24,26,29,32,32
Wuhan,26,24,22,22,25,24,26,29,28,31,31,33
Changsha,20,14,15,14,14,14,15,17,19,21,26,29
Guangzhou,11,5,5,5,6,6,6,5,6,7,7,7
Shenzhen,1,3,2,3,3,2,2,2,2,2,2,2
Nanning,30,30,32,33,33,34,36,36,36,35,36,36
Guilin,39,37,37,39,39,39,39,39,39,39,39,39
Haikou,7,15,16,15,16,16,18,16,17,16,16,18
Chongqing,38,40,40,40,40,40,40,40,40,40,40,40
Chengdu,8,8,8,7,7,8,8,8,8,9,10,12
Guiyang,10,9,10,12,13,13,13,19,20,26,28,31
Zunyi,37,31,36,36,36,37,37,38,38,38,38,38
Kunming,5,6,7,8,9,10,9,11,12,15,20,30
Xian,24,20,23,24,27,29,30,34,35,36,37,37
Lanzhou,23,21,25,27,26,27,28,31,34,34,35,35
Urumqi,16,10,11,10,10,12,12,14,15,19,22,27
