City,EnerCon,RD,Loan,TerInd,PubSpa,WatCon,Engle,Unemp,PopDen,GradeII,SolWas,WasWater,ConWas,PubBus,PasInt,without_thres,thres_ref_phi23,thres_ref_phi12,thres_ref_phi13
Beijing,0.38,4.753,20.097,77.82,60.41,56.735,30.819,1.3,1035.44,168,87.67,86.1,99.59,18.76,380.678,2,1,1,5
Tianjin,0.57,2.493,15.196,49.68,41.82,43.147,32.701,3.5,1125.53,175,98.91,100,96.23,13.41,182.558,29,10,35,39
Shijiazhuang,1.11,2.779,14.087,55.66,48.98,24.613,25.847,3.61,1818.86,97,95.1,95.85,71.98,11.68,205.637,33,13,30,38
Qinhuangdao,0.96,2.763,17.193,64.65,92.87,67.342,24,3.37,1745.81,239,65,98.38,157.94,9.1,134.561,27,8,21,31
Baoding,0.98,2.803,15.816,37.61,40.49,28.145,21.721,4.02,3377.68,79,86.2,91.39,82.37,21.19,162.13,36,19,32.5,36
Taiyuan,1.58,0.248,3.304,60.3,44.77,53.097,24.657,3.4,1917.47,197,55.25,85.85,100,10.68,179.33,40,28,39,40
Hohhot,0.57,0.876,22.818,77.48,40.27,26.22,26.111,3.59,618.93,240,39.64,81.02,98.74,20.68,299.049,13,5,9,24
Shenyang,0.22,1.941,17.005,50.81,41.78,39.548,31.255,3.03,1522.44,190,90.2,95,100,10.55,218.606,31,17,34,37
Dalian,0.45,3.317,25.439,44.09,44.78,37.53,28.214,2.93,1185.31,276,83.66,87.32,81.56,16.94,345.069,9,4,11,25
Changchun,0.507,1.515,18.036,40.99,38.82,26.612,24.517,3.75,763.96,239,99.92,90,98.4,12.98,199.912,28,23,32.5,35
Harbin,0.261,2.284,19.678,60.58,35.46,28.269,32.8,3.7,668.59,241,98.07,89.3,86,13.23,269.954,18,14,27,30
Shanghai,0.528,4.025,20.572,64.9,38.4,73.247,35,4.1,2659.38,278,97.51,89.8,95,11.78,194.903,32,15,26,29
Nanjing,0.278,2.059,17.718,56.49,44.16,59.167,26,2.5,984.85,188,91.9,65.4,92.2,12.54,161.35,34,25,31,32
Suzhou,0.231,2.026,14.862,48.71,42.21,34.353,26.947,1.92,725.34,227,96.7,79.6,100,12.74,96.983,25,21,28,28
Zhenjiang,0.916,1.98,8.61,47.26,42.48,21.398,28.318,1.89,950.46,240,98.6,79.9,100,11.36,53.7,35,34,37,34
Hangzhou,0.53,2.457,24.166,57.9,40.47,37.815,27.011,1.84,1076.87,216,91.1,93.9,100,16.49,198.155,12,9,12,19
Ningbo,0.27,2.684,19.476,47.7,38.22,31.823,29.077,1.95,932.74,302,90.76,81.11,100,19.67,84.998,15,16,17,23
Wenzhou,0.47,2.673,21.213,51.62,38.32,68.675,31.016,1.91,1339.63,299,98.15,87.25,99.77,14.63,218.431,17,11,14,20
Hefei,0.46,2.666,21.005,45.84,45.09,81.024,33.7,2.96,2177.2,151,93.02,87.59,100,17.32,284.385,21,20,23,26
Fuzhou,0.58,1.965,29.951,62.88,42.89,65.89,32.555,2.42,1105.43,310,95.97,93.6,99.49,18.67,303.478,4,6,6,11
Xiamen,0.48,3.253,20.296,54.67,41.87,71.354,33.2,3.03,1293.32,344,97.95,88.01,99.9,21.36,463.613,3,3,3,6
Nanchang,0.531,2.103,23.075,48.04,42.09,63.431,31.7,3.5,2806.34,294,95.91,91,100,13.99,270.697,19,26,20,22
Jinan,0.659,1.745,18.543,64.55,39.77,37.393,29.7,2.24,1092.92,107,99.56,95.33,100,14.13,228.705,14,24,19,21
Qingdao,0.269,2.535,17.584,57.96,44.39,40.035,35.7,2.97,1125.2,236,95.65,98.63,100,17.58,284.999,6,22,16,14
Zhengzhou,0.57,2.491,26.724,55.5,40.17,47.553,29.562,1.37,5279.21,135,76.77,95.89,95,11.81,303.187,22,32,22,15
Wuhan,0.47,1.977,16.985,54.53,39.18,97.456,31.705,3.15,2962.77,177,98.71,93,100,15.08,288.634,26,33,24,16
Changsha,0.58,2.176,18.473,54.72,35.16,112.409,26.447,2.85,1589.06,224,85.5,99.8,100,18.18,250.372,20,29,15,13
Guangzhou,0.361,1.552,14.504,65.23,41.5,136.901,32.9,2.26,1808.38,282,94.47,98.72,86.8,19.58,378.771,11,7,4,4
Shenzhen,0.43,2.658,14.168,57.39,45.08,296.527,33.1,2.26,1663.55,348,99.81,96.5,100,94.37,839.032,1,2,2,1
Nanning,0.182,2.093,28.634,55.45,49.38,73.609,38.8,3.27,432.91,292,95.82,75.22,93.67,10.08,183.353,30,36,29,18
Guilin,0.681,2.969,13.147,59.07,40.13,72.591,40.585,3.75,1373.27,250,85.31,86.53,96.64,9.87,221.528,39,39,38,27
Haikou,0.62,2.245,27.019,74.85,42.7,14.258,34.159,1.37,723.77,346,100,95.6,100,9.16,190.39,7,18,10,10
Chongqing,0.23,2.31,15.957,49.03,41.02,27.165,34.5,3.5,656.93,246,84.49,92.25,99.25,4.45,101.237,38,40,40,33
Chengdu,0.116,1.526,26.974,54.75,32.5,90.606,34.8,2.87,2677.85,216,97.44,97.566,100,19.68,3125.396,8,12,5,3
Guiyang,0.49,3.804,33.566,62.48,40.65,55.975,35.4,3.14,913.7,301,48.86,95.2,99.65,12.37,301.928,10,31,13,8
Zunyi,1.176,2.499,13.417,56.63,32.05,44.57,34.4,2.8,681.46,281,94.33,83.82,79.89,7.52,297.093,37,38,36,17
Kunming,2.598,1.215,33.473,56.79,41.5,48.241,27.542,2.34,599.8,350,36.87,90.15,100,19.73,307.809,5,30,8,7
Xian,0.521,1.615,24.964,55.19,42.5,45.849,29.206,3.4,1639.65,172,92.4,92.71,93.48,13.23,292.79,24,37,25,12
Lanzhou,1.549,2.533,22.932,61.25,35.27,48.075,33.368,2.24,1473.47,247,98.46,83.51,19.15,11.51,378.538,23,35,18,9
Urumqi,0.76,2.932,18.184,62.28,38.52,53.44,30.4,3.56,272.18,202,93.66,81.98,92.42,17.52,439.756,16,27,7,2
